ID,Text,Category,Label
1,Authorities have issued warnings due to the approaching Flood.,Flood,1
2,Emergency services are responding to a massive Industrial Accident that has displaced many residents.,Industrial Accident,1
3,A popular Event event attracted visitors from across the country.,Event,0
4,Emergency services are responding to a massive Hurricane that has displaced many residents.,Hurricane,1
5,The Earthquake has led to widespread power outages and disrupted daily life.,Earthquake,1
6,The city is buzzing with celebrations for the annual Science.,Science,0
7,The Tornado has led to widespread power outages and disrupted daily life.,Tornado,1
8,The city is buzzing with celebrations for the annual Technology.,Technology,0
9,"A powerful Flood struck the region, causing significant damage.",Flood,1
10,"A powerful Flood struck the region, causing significant damage.",Flood,1
11,"A powerful Industrial Accident struck the region, causing significant damage.",Industrial Accident,1
12,The Industrial Accident has led to widespread power outages and disrupted daily life.,Industrial Accident,1
13,The Hurricane has led to widespread power outages and disrupted daily life.,Hurricane,1
14,"The community gathered for a Sports, enjoying food and entertainment.",Sports,0
15,A new breakthrough in Sports has scientists excited about future possibilities.,Sports,0
16,"A powerful Tornado struck the region, causing significant damage.",Tornado,1
17,The city is buzzing with celebrations for the annual Festival.,Festival,0
18,A new breakthrough in Event has scientists excited about future possibilities.,Event,0
19,The Hurricane has led to widespread power outages and disrupted daily life.,Hurricane,1
20,A popular Technology event attracted visitors from across the country.,Technology,0
21,"The community gathered for a Sports, enjoying food and entertainment.",Sports,0
22,"The community gathered for a Science, enjoying food and entertainment.",Science,0
23,The city is buzzing with celebrations for the annual Science.,Science,0
24,A new breakthrough in Festival has scientists excited about future possibilities.,Festival,0
25,The city is buzzing with celebrations for the annual Daily Life.,Daily Life,0
26,"Several lives were lost as a result of the Tornado, with damages in the millions.",Tornado,1
27,A popular Festival event attracted visitors from across the country.,Festival,0
28,"The community gathered for a Sports, enjoying food and entertainment.",Sports,0
29,A new breakthrough in Sports has scientists excited about future possibilities.,Sports,0
30,A popular Festival event attracted visitors from across the country.,Festival,0
31,A new breakthrough in Event has scientists excited about future possibilities.,Event,0
32,Authorities have issued warnings due to the approaching Industrial Accident.,Industrial Accident,1
33,"The community gathered for a Sports, enjoying food and entertainment.",Sports,0
34,"A powerful Earthquake struck the region, causing significant damage.",Earthquake,1
35,The Industrial Accident has led to widespread power outages and disrupted daily life.,Industrial Accident,1
36,Authorities have issued warnings due to the approaching Tornado.,Tornado,1
37,"A powerful Wildfire struck the region, causing significant damage.",Wildfire,1
38,"Several lives were lost as a result of the Tornado, with damages in the millions.",Tornado,1
39,A popular Sports event attracted visitors from across the country.,Sports,0
40,The city is buzzing with celebrations for the annual Event.,Event,0
41,"A powerful Hurricane struck the region, causing significant damage.",Hurricane,1
42,A popular Event event attracted visitors from across the country.,Event,0
43,The Hurricane has led to widespread power outages and disrupted daily life.,Hurricane,1
44,"The community gathered for a Festival, enjoying food and entertainment.",Festival,0
45,"Several lives were lost as a result of the Flood, with damages in the millions.",Flood,1
46,The local Event team celebrated a hard-fought victory last night.,Event,0
47,The Hurricane has led to widespread power outages and disrupted daily life.,Hurricane,1
48,The local Event team celebrated a hard-fought victory last night.,Event,0
49,The Hurricane has led to widespread power outages and disrupted daily life.,Hurricane,1
50,"Several lives were lost as a result of the Industrial Accident, with damages in the millions.",Industrial Accident,1
